gene	graph	module	degree	betweenness
WAS	earlyOnset	1	10	126.743012030812
ARHGAP30	earlyOnset	1	8	1.41091116485853
IL10RA	earlyOnset	1	2	0
RNASET2	earlyOnset	1	24	207.586659309638
RAC2	earlyOnset	1	1	0
LY86	earlyOnset	1	21	16.4154137601256
PLCB2	earlyOnset	1	1	0
MS4A7	earlyOnset	1	1	0
CSF1R	earlyOnset	1	30	322.754520481928
C1QC	earlyOnset	1	34	201.473469837899
HLA-DMA	earlyOnset	1	2	0
FCHSD1	earlyOnset	1	1	0
CSF2RA	earlyOnset	1	2	0
HLA-DRA	earlyOnset	1	21	331.660639297628
FYB1	earlyOnset	1	24	137.765804668367
EBI3	earlyOnset	1	17	48.5383630328174
ZNF324B	earlyOnset	1	1	0
HSPA6	earlyOnset	1	2	0
C3	earlyOnset	1	42	324.286784329649
SH3TC1	earlyOnset	1	7	3.52612178079544
LILRB1	earlyOnset	1	6	7.47903745421035
FGD2	earlyOnset	1	5	5.34543145227635
CMTM7	earlyOnset	1	18	63.0550367137459
CSF3R	earlyOnset	1	6	2.9870662794047
TLR2	earlyOnset	1	4	5.46424910921146
CD74	earlyOnset	1	33	392.002572315202
C1orf162	earlyOnset	1	5	120.908313908314
RNASE2	earlyOnset	1	1	0
FCGR3A	earlyOnset	1	24	36.7636257463937
SPI1	earlyOnset	1	24	158.58067875045
ITGAM	earlyOnset	1	30	107.253517729802
HCST	earlyOnset	1	10	16.8049219130873
TBXAS1	earlyOnset	1	26	105.904466911894
PCED1B-AS1	earlyOnset	1	21	42.1878623063644
HAVCR2	earlyOnset	1	9	3.60976623485677
H2AC18	earlyOnset	1	4	0
ARHGAP45	earlyOnset	1	25	160.974147420721
STXBP2	earlyOnset	1	5	0.874900793650794
LPAR5	earlyOnset	1	3	0
SLC1A5	earlyOnset	1	15	55.1570129977307
HLA-DPA1	earlyOnset	1	2	0
FCGR2A	earlyOnset	1	33	264.43909416816
CD37	earlyOnset	1	14	58.4458270077779
LGALS9	earlyOnset	1	16	29.9794328862128
PTPN6	earlyOnset	1	7	7.34023198362674
VSIG4	earlyOnset	1	18	179.916229784817
CTSS	earlyOnset	1	1	0
CIITA	earlyOnset	1	1	0
TMC8	earlyOnset	1	15	127.719342426943
CYBB	earlyOnset	1	5	1.26669339150856
LAT2	earlyOnset	1	29	266.773420413998
CD14	earlyOnset	1	12	10.8061734293646
LST1	earlyOnset	1	20	144.422228905629
CD300A	earlyOnset	1	14	11.791045896252
